Coordinates: 
x = 0.0,y = 0.0
x = 1.0606602,y = 1.0116103
x = 2.1213205,y = 1.9251205
x = 3.1819806,y = 2.7405305
x = 4.242641,y = 3.4578407
x = 5.3033013,y = 4.077051
x = 6.3639617,y = 4.5981617
x = 7.424622,y = 5.021172
x = 8.485282,y = 5.346082
x = 9.545942,y = 5.5728927
x = 10.606603,y = 5.701603
x = 11.667263,y = 5.7322135
x = 12.727923,y = 5.664724
x = 13.788584,y = 5.499134
x = 14.849244,y = 5.2354445
x = 15.9099045,y = 4.873655
x = 16.970564,y = 4.4137654
x = 18.031223,y = 3.8557756
x = 19.091883,y = 3.1996858
x = 20.152542,y = 2.4454958
x = 21.213202,y = 1.593206
x = 22.27386,y = 0.6428162
x = 23.33452,y = -0.40567365
